Unique Key,Created Date,Closed Date,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Address Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Borough,Latitude,Longitude,Location,area_name,year,geo_id,pop_25_plus,pop_25_less_9th,pop_25_hs_grad,pop_25_bach_plus,pop_25_34_bach_plus,pop_45_64_bach_plus
15730232,01/14/2010 08:56:56 AM,02/01/2010 01:47:06 PM,Rooster,Residence,10455.0,751 DAWSON STREET,DAWSON STREET,ADDRESS,Closed,02/13/2010 08:56:56 AM,The Department of Health and Mental Hygiene has investigated the Service Request and issued a Notice of Violation.  No further action will be taken.,02/01/2010 01:47:06 PM,BRONX,1011897.0,237079.0,BRONX,40.817359514802106,-73.90011656689259,"(40.817359514802106, -73.90011656689259)",The Bronx,2010,0500000US36005,840009,128521.37700000001,237722.547,54600.585,191951,18.8
15731950,01/14/2010 11:44:46 AM,02/09/2010 10:34:19 AM,Rooster,Residence,11211.0,450 GRAHAM AVENUE,GRAHAM AVENUE,ADDRESS,Closed,02/13/2010 11:44:46 AM,"The Office of Veterinary Public Health Services tried to investigate the complaint twice but was not able to gain access.  In order to increase the likelihood of an inspection, please provide additional access information and submit a new Service Request.",02/09/2010 10:34:19 AM,BROOKLYN,999487.0,201068.0,BROOKLYN,40.71854881994754,-73.94503319377738,"(40.71854881994754, -73.94503319377738)",Kings,2010,0500000US36047,1613215,180680.08,464605.92,174227.22,342810,31.6
15752480,01/18/2010 11:37:00 AM,02/03/2010 01:34:20 PM,Rooster,Residence,10457.0,1583 WASHINGTON AVENUE,WASHINGTON AVENUE,ADDRESS,Closed,02/17/2010 11:37:00 AM,The Department of Health and Mental Hygiene has investigated the Service Request and issued a Notice of Violation.  No further action will be taken.,02/03/2010 01:34:20 PM,BRONX,1011249.0,245068.0,BRONX,40.83928902767597,-73.90242551738007,"(40.83928902767597, -73.90242551738007)",The Bronx,2010,0500000US36005,840009,128521.37700000001,237722.547,54600.585,191951,18.8
15753268,01/18/2010 02:12:30 PM,02/03/2010 01:39:33 PM,Rooster,Residence,11225.0,560 EMPIRE BOULEVARD,EMPIRE BOULEVARD,ADDRESS,Closed,02/17/2010 02:12:30 PM,The Department of Health and Mental Hygiene has investigated the Service Request and issued a Notice of Violation.  No further action will be taken.,02/03/2010 01:39:33 PM,BROOKLYN,999891.0,181229.0,BROOKLYN,40.664094649038745,-73.94362184380982,"(40.664094649038745, -73.94362184380982)",Kings,2010,0500000US36047,1613215,180680.08,464605.92,174227.22,342810,31.6
15789308,01/23/2010 03:39:38 PM,02/18/2010 04:13:37 PM,Rooster,Residence,11105.0,21-47 24 STREET,24 STREET,ADDRESS,Closed,02/22/2010 03:39:38 PM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,02/18/2010 01:43:05 PM,QUEENS,1008054.0,223513.0,QUEENS,40.780135751755914,-73.91404868701352,"(40.780135751755914, -73.91404868701352)",Queens,2010,0500000US36081,1527856,158897.024,436966.816,157369.168,331446,31.6
15789363,01/24/2010 02:25:14 AM,,Rooster,Residence,11231.0,700 HICKS STREET,HICKS STREET,ADDRESS,Assigned,02/23/2010 02:25:14 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",01/25/2010 03:52:13 PM,BROOKLYN,983151.0,186436.0,BROOKLYN,40.67840044532978,-74.00396220705531,"(40.67840044532978, -74.00396220705531)",Kings,2010,0500000US36047,1613215,180680.08,464605.92,174227.22,342810,31.6
15807802,01/26/2010 02:48:34 PM,01/29/2010 03:54:59 PM,Other,Residence,11221.0,1181 GREENE AVENUE,GREENE AVENUE,ADDRESS,Closed,02/25/2010 02:48:34 PM,The Department of Health and Mental Hygiene has reviewed and closed the Service Request.,01/29/2010 03:54:59 PM,BROOKLYN,1005800.0,192583.0,BROOKLYN,40.69524638225924,-73.92228649017396,"(40.69524638225924, -73.92228649017396)",Kings,2010,0500000US36047,1613215,180680.08,464605.92,174227.22,342810,31.6
15815611,01/27/2010 10:32:11 AM,02/23/2010 11:55:00 AM,Rooster,Residence,11233.0,244 MACDOUGAL STREET,MACDOUGAL STREET,ADDRESS,Closed,02/26/2010 10:32:11 AM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,02/23/2010 11:55:01 AM,BROOKLYN,1009100.0,187151.0,BROOKLYN,40.68032814537359,-73.91040608861614,"(40.68032814537359, -73.91040608861614)",Kings,2010,0500000US36047,1613215,180680.08,464605.92,174227.22,342810,31.6
15835064,01/29/2010 03:38:36 PM,02/01/2010 11:45:09 AM,Rooster,Residence,11105.0,21-47 24 STREET,24 STREET,ADDRESS,Closed,02/28/2010 03:38:36 PM,The Department of Health and Mental Hygiene has reviewed and closed the Service Request.,02/01/2010 11:45:09 AM,QUEENS,1008054.0,223513.0,QUEENS,40.780135751755914,-73.91404868701352,"(40.780135751755914, -73.91404868701352)",Queens,2010,0500000US36081,1527856,158897.024,436966.816,157369.168,331446,31.6
15939098,02/05/2010 02:28:01 PM,02/23/2010 11:48:36 AM,Rooster,Residence,11211.0,269 POWERS STREET,POWERS STREET,ADDRESS,Closed,03/07/2010 02:28:01 PM,The Department of Health and Mental Hygiene has investigated the Service Request and there were minor violation of rules and regulations.  A Notice Of Violation was not issued and a reinspection is not required.,02/23/2010 11:48:36 AM,BROOKLYN,1001108.0,199084.0,BROOKLYN,40.71310027573483,-73.93919047796373,"(40.71310027573483, -73.93919047796373)",Kings,2010,0500000US36047,1613215,180680.08,464605.92,174227.22,342810,31.6
15973560,02/10/2010 03:22:29 PM,02/10/2010 03:39:57 PM,Farm Animal,Residence,11225.0,560 EMPIRE BOULEVARD,EMPIRE BOULEVARD,ADDRESS,Closed,03/12/2010 03:22:29 PM,The Department of Health and Mental Hygiene has reviewed and closed the Service Request.,02/10/2010 03:39:57 PM,BROOKLYN,999891.0,181229.0,BROOKLYN,40.664094649038745,-73.94362184380982,"(40.664094649038745, -73.94362184380982)",Kings,2010,0500000US36047,1613215,180680.08,464605.92,174227.22,342810,31.6
16005743,02/15/2010 11:38:28 AM,03/01/2010 03:43:59 PM,Ferret,Residence,10039.0,159-30 HARLEM RIVER DRIVE,HARLEM RIVER DRIVE,ADDRESS,Closed,03/17/2010 11:38:28 AM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,03/01/2010 03:43:59 PM,MANHATTAN,1002116.0,242701.0,MANHATTAN,40.83281549910328,-73.93543850183491,"(40.83281549910328, -73.93543850183491)",New York,2010,0500000US36061,1166760,99174.6,155179.08,317358.72,243451,61.0
16053962,02/23/2010 12:15:13 AM,03/04/2010 10:59:36 AM,Rooster,Residence,11231.0,700 HICKS STREET,HICKS STREET,ADDRESS,Closed,03/25/2010 12:15:13 AM,The Department of Health and Mental Hygiene has investigated the Service Request and issued a Notice of Violation.  No further action will be taken.,03/04/2010 10:59:36 AM,BROOKLYN,983151.0,186436.0,BROOKLYN,40.67840044532978,-74.00396220705531,"(40.67840044532978, -74.00396220705531)",Kings,2010,0500000US36047,1613215,180680.08,464605.92,174227.22,342810,31.6
16146221,03/05/2010 01:27:05 PM,03/05/2010 02:08:50 PM,Other,Residence,10469.0,2795 PEARSALL AVENUE,PEARSALL AVENUE,ADDRESS,Closed,04/04/2010 01:27:05 PM,The Department of Health and Mental Hygiene has reviewed and closed the Service Request.,03/05/2010 02:08:50 PM,BRONX,1025204.0,254983.0,BRONX,40.86644902531989,-73.85193160776252,"(40.86644902531989, -73.85193160776252)",The Bronx,2010,0500000US36005,840009,128521.37700000001,237722.547,54600.585,191951,18.8
16180038,03/10/2010 06:18:37 PM,03/11/2010 10:21:17 AM,Snake,Residence,10025.0,988 COLUMBUS AVENUE,COLUMBUS AVENUE,ADDRESS,Closed,04/09/2010 06:18:37 PM,The Office of Veterinary Public Health Services has contacted the customer and provided status of the Service Request.  No further investigation is needed.,03/11/2010 10:21:18 AM,MANHATTAN,994875.0,231091.0,MANHATTAN,40.80096098916819,-73.96162332846248,"(40.800960989168196, -73.96162332846248)",New York,2010,0500000US36061,1166760,99174.6,155179.08,317358.72,243451,61.0
16209802,03/14/2010 12:13:30 PM,04/12/2010 10:10:14 AM,Other,Residence,11208.0,204 GRANT AVENUE,GRANT AVENUE,ADDRESS,Closed,04/13/2010 12:13:30 PM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,04/09/2010 04:03:20 PM,BROOKLYN,1020907.0,189185.0,BROOKLYN,40.68586998499883,-73.86782625224043,"(40.68586998499883, -73.86782625224043)",Kings,2010,0500000US36047,1613215,180680.08,464605.92,174227.22,342810,31.6
16216571,03/15/2010 02:36:56 PM,03/18/2010 11:17:51 AM,Other,Residence,11208.0,204 GRANT AVENUE,GRANT AVENUE,ADDRESS,Closed,04/14/2010 02:36:56 PM,The Department of Health and Mental Hygiene has reviewed and closed the Service Request.,03/18/2010 11:17:51 AM,BROOKLYN,1020907.0,189185.0,BROOKLYN,40.68586998499883,-73.86782625224043,"(40.68586998499883, -73.86782625224043)",Kings,2010,0500000US36047,1613215,180680.08,464605.92,174227.22,342810,31.6
16245970,03/18/2010 06:12:37 PM,04/08/2010 04:46:46 PM,Rooster,Residence,10452.0,1550A INWOOD AVENUE,INWOOD AVENUE,ADDRESS,Closed,04/17/2010 06:12:37 PM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,04/08/2010 04:46:46 PM,BRONX,1007392.0,246810.0,BRONX,40.844081256763324,-73.91635870872518,"(40.844081256763324, -73.91635870872518)",The Bronx,2010,0500000US36005,840009,128521.37700000001,237722.547,54600.585,191951,18.8
16267808,03/21/2010 02:12:08 PM,04/09/2010 10:19:55 AM,Rooster,Residence,10040.0,609 WEST 196 STREET,WEST 196 STREET,ADDRESS,Closed,04/20/2010 02:12:08 PM,The Department of Health and Mental Hygiene has investigated the Service Request and issued a Notice of Violation.  No further action will be taken.,04/09/2010 10:19:55 AM,MANHATTAN,1003857.0,252884.0,MANHATTAN,40.860761133846125,-73.92911736080376,"(40.860761133846125, -73.92911736080376)",New York,2010,0500000US36061,1166760,99174.6,155179.08,317358.72,243451,61.0
16281698,03/23/2010 11:03:44 AM,03/23/2010 12:14:58 PM,Other,Residence,10455.0,525 TINTON AVENUE,TINTON AVENUE,ADDRESS,Closed,04/22/2010 11:03:44 AM,The Department of Health and Mental Hygiene has determined that this issue is not within its jurisdiction; it cannot be determined if another agency would regulate the issue reported. This Service Request has been closed.,03/23/2010 12:14:58 PM,BRONX,1010123.0,235170.0,BRONX,40.81212522041818,-73.90653305061747,"(40.81212522041818, -73.90653305061747)",The Bronx,2010,0500000US36005,840009,128521.37700000001,237722.547,54600.585,191951,18.8
16283341,03/23/2010 12:27:57 PM,04/27/2010 11:03:01 AM,Rooster,Residence,10456.0,3531 3 AVENUE,3 AVENUE,ADDRESS,Closed,04/22/2010 12:27:57 PM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,04/27/2010 10:59:46 AM,BRONX,1010357.0,242216.0,BRONX,40.831463798494845,-73.90566030652326,"(40.831463798494845, -73.90566030652326)",The Bronx,2010,0500000US36005,840009,128521.37700000001,237722.547,54600.585,191951,18.8
16291576,03/24/2010 08:28:12 PM,,Iguana,Residence,10459.0,823 FOX STREET,FOX STREET,ADDRESS,Assigned,04/23/2010 08:28:12 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",03/30/2010 05:04:29 PM,BRONX,1012903.0,237080.0,BRONX,40.81735905377218,-73.89648207635712,"(40.81735905377218, -73.89648207635712)",The Bronx,2010,0500000US36005,840009,128521.37700000001,237722.547,54600.585,191951,18.8
16298818,03/25/2010 03:23:02 PM,,Rooster,Residence,11423.0,82-22 189 STREET,189 STREET,ADDRESS,Assigned,04/24/2010 03:23:02 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",03/30/2010 05:04:41 PM,QUEENS,1045649.0,203777.0,QUEENS,40.72578440560069,-73.7784815423205,"(40.72578440560069, -73.7784815423205)",Queens,2010,0500000US36081,1527856,158897.024,436966.816,157369.168,331446,31.6
16307478,03/27/2010 10:46:02 AM,04/05/2010 11:22:55 AM,Rooster,Residence,10456.0,3531 3 AVENUE,3 AVENUE,ADDRESS,Closed,04/26/2010 10:46:02 AM,The Department of Health and Mental Hygiene has reviewed and closed the Service Request.,04/05/2010 11:22:55 AM,BRONX,1010357.0,242216.0,BRONX,40.831463798494845,-73.90566030652326,"(40.831463798494845, -73.90566030652326)",The Bronx,2010,0500000US36005,840009,128521.37700000001,237722.547,54600.585,191951,18.8
16320121,03/29/2010 12:05:14 AM,05/11/2010 09:56:06 AM,Other,Residence,11208.0,77 MONTAUK AVENUE,MONTAUK AVENUE,ADDRESS,Closed,04/28/2010 12:05:14 AM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,05/11/2010 09:56:06 AM,BROOKLYN,1017860.0,186220.0,BROOKLYN,40.67774383682443,-73.87882756104717,"(40.67774383682443, -73.87882756104717)",Kings,2010,0500000US36047,1613215,180680.08,464605.92,174227.22,342810,31.6
16344827,03/31/2010 08:56:58 PM,04/21/2010 02:06:36 PM,Rooster,Residence,11223.0,1122 AVENUE T,AVENUE T,ADDRESS,Closed,04/30/2010 08:56:58 PM,The Department of Health and Mental Hygiene has investigated the Service Request and issued a Notice of Violation.  No further action will be taken.,04/21/2010 01:35:29 PM,BROOKLYN,995065.0,158099.0,BROOKLYN,40.600614916698696,-73.96105427831091,"(40.600614916698696, -73.96105427831091)",Kings,2010,0500000US36047,1613215,180680.08,464605.92,174227.22,342810,31.6
16345717,03/31/2010 09:13:47 AM,04/21/2010 03:52:53 PM,Rooster,Residence,11232.0,140 30 STREET,30 STREET,ADDRESS,Closed,04/30/2010 09:13:47 AM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,04/21/2010 03:52:53 PM,BROOKLYN,983709.0,179103.0,BROOKLYN,40.658273046944196,-74.00194987012868,"(40.658273046944196, -74.00194987012868)",Kings,2010,0500000US36047,1613215,180680.08,464605.92,174227.22,342810,31.6
16360662,04/02/2010 09:08:51 AM,,Rooster,Residence,11418.0,88-28 113 STREET,113 STREET,ADDRESS,Assigned,05/02/2010 09:08:51 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",04/02/2010 04:03:37 PM,QUEENS,1030040.0,192987.0,QUEENS,40.696263043355614,-73.83486972071044,"(40.696263043355614, -73.83486972071044)",Queens,2010,0500000US36081,1527856,158897.024,436966.816,157369.168,331446,31.6
16361611,04/02/2010 02:05:28 PM,04/21/2010 02:05:52 PM,Rooster,Residence,10468.0,2730 UNIVERSITY AVENUE,UNIVERSITY AVENUE,ADDRESS,Closed,05/02/2010 02:05:28 PM,The Department of Health and Mental Hygiene has investigated the Service Request and issued a Notice of Violation.  No further action will be taken.,04/21/2010 01:52:21 PM,BRONX,1011904.0,256114.0,BRONX,40.869604958975586,-73.90001278037012,"(40.869604958975586, -73.90001278037012)",The Bronx,2010,0500000US36005,840009,128521.37700000001,237722.547,54600.585,191951,18.8
16362341,04/02/2010 02:58:39 PM,,Other,Residence,11414.0,155-34 79 STREET,79 STREET,ADDRESS,Assigned,05/02/2010 02:58:39 PM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",04/02/2010 04:03:39 PM,QUEENS,1024609.0,180970.0,QUEENS,40.66330558340577,-73.8545272055094,"(40.66330558340577, -73.8545272055094)",Queens,2010,0500000US36081,1527856,158897.024,436966.816,157369.168,331446,31.6
16375894,04/05/2010 09:35:14 PM,04/26/2010 02:36:34 PM,Snake,Residence,11420.0,133-14 114 STREET,114 STREET,ADDRESS,Closed,05/05/2010 09:35:14 PM,The Department of Health and Mental Hygiene has determined that this issue is not within its jurisdiction; it cannot be determined if another agency would regulate the issue reported. This Service Request has been closed.,04/26/2010 02:36:34 PM,QUEENS,1032539.0,184540.0,QUEENS,40.67306472021276,-73.82591825706604,"(40.67306472021276, -73.82591825706604)",Queens,2010,0500000US36081,1527856,158897.024,436966.816,157369.168,331446,31.6
16377702,04/05/2010 10:48:53 AM,,Rooster,Residence,11204.0,1351 WEST 6 STREET,WEST 6 STREET,ADDRESS,Assigned,05/05/2010 10:48:53 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",04/05/2010 03:33:16 PM,BROOKLYN,989658.0,162427.0,BROOKLYN,40.612499340639815,-73.98052187205997,"(40.612499340639815, -73.98052187205997)",Kings,2010,0500000US36047,1613215,180680.08,464605.92,174227.22,342810,31.6
16385252,04/06/2010 11:02:37 AM,04/06/2010 01:20:55 PM,Other,Residence,11221.0,751 MONROE STREET,MONROE STREET,ADDRESS,Closed,05/06/2010 11:02:37 AM,The Department of Health and Mental Hygiene has reviewed and closed the Service Request.,04/06/2010 01:20:55 PM,BROOKLYN,1004688.0,190040.0,BROOKLYN,40.68826907459024,-73.92630429266343,"(40.68826907459024, -73.92630429266343)",Kings,2010,0500000US36047,1613215,180680.08,464605.92,174227.22,342810,31.6
16391682,04/07/2010 02:48:06 AM,05/12/2010 11:27:25 AM,Snake,Residence,10468.0,2701 GRAND CONCOURSE,GRAND CONCOURSE,ADDRESS,Closed,05/07/2010 02:48:06 AM,The Department of Health and Mental Hygiene has investigated the Service Request and issued a Notice of Violation.  No further action will be taken.,05/12/2010 11:27:25 AM,BRONX,1013712.0,255265.0,BRONX,40.867268865019774,-73.8934794219803,"(40.867268865019774, -73.8934794219803)",The Bronx,2010,0500000US36005,840009,128521.37700000001,237722.547,54600.585,191951,18.8
16402279,04/08/2010 01:32:59 PM,04/12/2010 10:11:54 AM,Rooster,Residence,10468.0,2730 UNIVERSITY AVENUE,UNIVERSITY AVENUE,ADDRESS,Closed,05/08/2010 01:32:59 PM,The Department of Health and Mental Hygiene has reviewed and closed the Service Request.,04/12/2010 10:11:54 AM,BRONX,1011904.0,256114.0,BRONX,40.869604958975586,-73.90001278037012,"(40.869604958975586, -73.90001278037012)",The Bronx,2010,0500000US36005,840009,128521.37700000001,237722.547,54600.585,191951,18.8
16421372,04/11/2010 12:44:08 PM,05/11/2010 04:01:34 PM,Rooster,Residence,11105.0,21-49 24 STREET,24 STREET,ADDRESS,Closed,05/11/2010 12:44:08 PM,"The Office of Veterinary Public Health Services tried to investigate the complaint twice but was not able to gain access.  In order to increase the likelihood of an inspection, please provide additional access information and submit a new Service Request.",05/11/2010 04:01:34 PM,QUEENS,1008046.0,223504.0,QUEENS,40.780111070690545,-73.91407760521358,"(40.780111070690545, -73.91407760521358)",Queens,2010,0500000US36081,1527856,158897.024,436966.816,157369.168,331446,31.6
16423961,04/12/2010 06:21:04 PM,05/26/2010 03:50:23 PM,Ferret,Residence,11428.0,222-17 FAIRBURY AVENUE,FAIRBURY AVENUE,ADDRESS,Closed,05/12/2010 06:21:04 PM,The Department of Health and Mental Hygiene has investigated the Service Request and no violations were cited.,05/26/2010 03:50:23 PM,QUEENS,1058104.0,203147.0,QUEENS,40.723959997833035,-73.73355292271798,"(40.723959997833035, -73.73355292271798)",Queens,2010,0500000US36081,1527856,158897.024,436966.816,157369.168,331446,31.6
16434920,04/13/2010 11:52:00 AM,,Rooster,Residence,11419.0,101-19 132 STREET,132 STREET,ADDRESS,Assigned,05/13/2010 11:52:00 AM,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",04/13/2010 06:17:01 PM,QUEENS,1035550.0,191544.0,QUEENS,40.692272126426005,-73.81501031759865,"(40.692272126426005, -73.81501031759865)",Queens,2010,0500000US36081,1527856,158897.024,436966.816,157369.168,331446,31.6
